,Name,Prefecture,Ward,Address,Longtitude,Latitude,Junyu_num,Omutsu_num
0,金澤小児科内科クリニック,東京都,足立区,東京都足立区南花畑３丁目２０−１９,35.791618033412,139.827312044799,0,1
1,足立成和信用金庫,東京都,足立区,東京都足立区保木間３丁目３４−１１,35.7951447197784,139.810289740562,1,1
2,ポポラマーマ綾瀬店,東京都,足立区,東京都足立区綾瀬４丁目９−２４,35.7627865089183,139.82330147177,0,1
3,ブロンコビリー北綾瀬店,東京都,足立区,東京都足立区谷中２丁目５ 谷中2丁目5-4,35.777214866366776,139.83086999505758,0,1
4,ベルクス・足立綾瀬店,東京都,足立区,東京都足立区綾瀬４丁目４−１４−２０,35.76378495426309,139.82291389256716,0,1
5,かねやまクリニック,東京都,足立区,東京都足立区新田３丁目３４−５,35.7698689427173,139.747216925025,1,1
6,きたテラス,東京都,足立区,東京都足立区千住３丁目７７,35.7505149459875,139.803739786148,0,1
7,ベルク足立新田店,東京都,足立区,東京都足立区新田３丁目３４ 新田3-34-3,35.770031346513,139.746782742441,0,1
8,かっぱち,東京都,足立区,東京都足立区鹿浜3-31-7,35.7834980099829,139.751649945974,0,1
9,足立区梅田地域学習センター・体育館（Ｌ．ソフィア）,東京都,足立区,東京都足立区梅田７丁目３３−１,35.7706398817391,139.798134975135,1,1
10,バーミヤン・足立加賀店,東京都,足立区,東京都足立区鹿浜６丁目３５−３,35.7883560899308,139.760955870152,0,1
